IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
138.2.151.106,443,443,TRUE,EWR,North America,Newark,183,10.67
151.145.69.105,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,135,9.05
151.145.69.105,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,132,8.74
151.145.69.105,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,152,8.12
152.70.102.124,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,160,8.08
129.146.247.85,2053,443,TRUE,LAX,North America,Los Angeles,183,7.88
138.3.215.11,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,145,7.74
129.146.60.210,443,443,TRUE,LAX,North America,Los Angeles,222,7.65
132.145.121.242,80,80,FALSE,HKG,Asia Pacific,Hong Kong,135,7.4
129.146.84.236,443,443,TRUE,LAX,North America,Los Angeles,215,7.36
152.70.102.124,80,80,FALSE,HKG,Asia Pacific,Hong Kong,128,7.1
151.145.69.105,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,130,7.08
131.186.40.31,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,149,7.06
158.101.148.221,80,80,FALSE,HKG,Asia Pacific,Hong Kong,146,6.84
138.3.215.11,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,140,6.83
132.145.121.242,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,137,6.75
131.186.59.232,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,136,6.71
132.145.121.242,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,138,6.71
131.186.59.232,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,129,6.7
131.186.40.31,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,143,6.51
138.3.215.11,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,132,6.27
158.101.148.221,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,183,6.24
158.101.148.221,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,216,6.23
132.145.121.242,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,128,6.14
151.145.69.105,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,126,6.09
138.3.215.11,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,138,5.95
129.146.248.140,443,443,TRUE,LAX,North America,Los Angeles,222,5.82
158.101.148.221,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,139,5.71
131.186.40.31,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,154,5.63
138.3.215.11,80,80,FALSE,HKG,Asia Pacific,Hong Kong,128,5.61
158.101.148.221,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,172,5.58
131.186.59.232,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,144,5.4
132.145.121.242,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,193,5.39
141.147.178.135,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,146,5.38
141.147.178.135,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,154,5.35
152.70.102.124,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,134,5.32
132.145.121.242,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,133,5.24
151.145.69.105,80,80,FALSE,HKG,Asia Pacific,Hong Kong,143,5.24
131.186.40.31,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,164,5.12
132.145.121.242,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,135,5.1
158.101.148.221,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,146,5.09
